식품명,식품대분류명,대표식품명,영양성분함량기준량,에너지(kcal),단백질(g),지방(g),탄수화물(g),식품중량
피자_리치고구마치킨 피자 치즈링 (L),빵 및 과자류,피자,100g,247,14.17,,,960g
피자_리치고구마치킨 피자 치즈링 (R),빵 및 과자류,피자,100g,246,14.61,,,710g
피자_리치골드 피자 (L),빵 및 과자류,피자,100g,375,20.5,14.02,37.16,554g
피자_리치골드 피자 (XL),빵 및 과자류,피자,100g,257,11.89,,,1108g
피자_리치킨 BBQ 피자 (L),빵 및 과자류,피자,100g,215,10.12,,,1210g
피자_리치킨 BBQ 피자 (M),빵 및 과자류,피자,100g,223,11.4,,,744g
피자_리코타 페퍼로니 킹덤 피자 나폴리 (L),빵 및 과자류,피자,100g,259,11,11.86,26.84,683g
피자_리코타 페퍼로니 킹덤 피자 나폴리 (M),빵 및 과자류,피자,100g,259,12,12.12,24.95,417g
피자_리코타 페퍼로니 킹덤 피자 더블치즈 엣지 (L),빵 및 과자류,피자,100g,276,11.9,13.85,25.94,1040g
피자_리코타 페퍼로니 킹덤 피자 더블치즈 엣지 (M),빵 및 과자류,피자,100g,266,11,13.07,25.73,666g
피자_리코타 페퍼로니 킹덤 피자 더블치즈 페퍼로니 엣지 (L),빵 및 과자류,피자,100g,280,12.41,14.13,24.13,1080g
피자_리코타 페퍼로니 킹덤 피자 더블치즈 페퍼로니 엣지 (M),빵 및 과자류,피자,100g,269,11.43,13.91,23.92,686g
피자_리코타 페퍼로니 킹덤 피자 슈퍼시드 화이버 오리지널 (L),빵 및 과자류,피자,100g,259,10,9.95,31.84,883g
피자_리코타 페퍼로니 킹덤 피자 슈퍼시드 화이버 오리지널 (M),빵 및 과자류,피자,100g,260,10.8,10.6,30.36,542g
케이크_초코 롤케이크,빵 및 과자류,케이크,100g,291,4.29,,,70g
피자_리얼치즈 피자 밀도우 (R),빵 및 과자류,피자,100g,86,8.93,,,540g
피자_리얼치즈 피자 씬도우 (L),빵 및 과자류,피자,100g,130,13.41,,,510g
피자_리얼치즈 피자 씬도우 (R),빵 및 과자류,피자,100g,86,8.95,,,440g
피자_리얼치즈 피자밀도우(L),빵 및 과자류,피자,100g,130,13.39,,,720g
피자_리얼치즈 피자밀도우(R),빵 및 과자류,피자,100g,86,8.93,,,540g
피자_리얼치즈 피자씬도우(L),빵 및 과자류,피자,100g,130,13.41,,,510g
피자_리얼치즈 피자씬도우(R),빵 및 과자류,피자,100g,86,8.95,,,440g
피자_리얼치즈피자 (L),빵 및 과자류,피자,100g,285,14.48,,,657g
피자_리얼큐브달달구마 피자 (L),빵 및 과자류,피자,100g,257,13.36,,,1423g
피자_리얼페퍼로니피자(L),빵 및 과자류,피자,100g,314,17.25,,,733g
피자_리얼핫도그 피자 (L),빵 및 과자류,피자,100g,215,11.76,,,790g
피자_리얼핫도그 피자 (M),빵 및 과자류,피자,100g,206,10.55,,,506g
피자_리치고구마치킨 피자 골드스윗 (L),빵 및 과자류,피자,100g,256,13.18,,,1030g
피자_리치고구마치킨 피자 골드스윗 (R),빵 및 과자류,피자,100g,255,13.23,,,755g
피자_리치고구마치킨 피자 리코타링 (L),빵 및 과자류,피자,100g,254,13.56,,,940g
피자_리치고구마치킨 피자 리코타링 (R),빵 및 과자류,피자,100g,255,13.87,,,690g
피자_리치고구마치킨 피자 석쇠 (L),빵 및 과자류,피자,100g,248,13.33,,,840g
피자_리치고구마치킨 피자 석쇠 (R),빵 및 과자류,피자,100g,247,13.73,,,610g
피자_리얼불고기 피자 슈화 더블 치즈 페퍼로니 엣지 (M),빵 및 과자류,피자,100g,314,14.87,13.01,25.18,676g
피자_리얼불고기 피자 씬 (L),빵 및 과자류,피자,100g,273,12.54,14.12,23.87,587g
피자_리얼불고기 피자 씬 (M),빵 및 과자류,피자,100g,282,13.23,13.89,26.05,303g
피자_리얼불고기 피자 오리지널 (L),빵 및 과자류,피자,100g,251,12.34,8.2,31.93,922g
피자_리얼불고기 피자 오리지널 (M),빵 및 과자류,피자,100g,258,11.79,8,34.66,508g
피자_리얼불고기 피자 치즈버스트 나폴리 (L),빵 및 과자류,피자,100g,253,13,12.07,22.9,968g
피자_리얼불고기 피자 치즈버스트 오리지널 (L),빵 및 과자류,피자,100g,256,12,10.86,27.48,1176g
피자_리얼불고기 피자 트리플치즈버스트 엣지 (L),빵 및 과자류,피자,100g,248,13.01,,,1165g
피자_리얼불고기오리지널(L),빵 및 과자류,피자,100g,253,12.67,,,910g
피자_리얼불고기피자 (L),빵 및 과자류,피자,100g,247,14.01,,,894g
피자_리얼불콕 피자 (L),빵 및 과자류,피자,100g,260,15.32,,,990g
피자_리얼불콕 피자 (R),빵 및 과자류,피자,100g,261,15.38,,,700g
피자_리얼수제고구마 피자 (L),빵 및 과자류,피자,100g,283,15,,,1380g
피자_리얼시카고오리지널 피자 (L),빵 및 과자류,피자,100g,233,11.27,,,959g
피자_리얼시카고오리지널피자,빵 및 과자류,피자,100g,233,11.27,,,959g
피자_리얼직화불고기쉬림프피자씬(L),빵 및 과자류,피자,100g,394,15.55,,,931.5
피자_리얼직화불고기피자씬(L),빵 및 과자류,피자,100g,394,15.58,,,955.5
피자_리얼치즈 피자 밀도우 (L),빵 및 과자류,피자,100g,130,13.39,,,720g
피자_리얼단호박 피자씬도우(L),빵 및 과자류,피자,100g,100,5.23,,,810g
피자_리얼단호박 피자씬도우(R),빵 및 과자류,피자,100g,67,3.48,,,520g
피자_리얼랍스터스테이크 피자 골드스윗 (L),빵 및 과자류,피자,100g,246,13.77,,,1100g
피자_리얼랍스터스테이크 피자 리코타링 (L),빵 및 과자류,피자,100g,246,14.29,,,1010g
피자_리얼랍스터스테이크 피자 석쇠 (L),빵 및 과자류,피자,100g,237,14.04,,,910g
피자_리얼랍스터스테이크 피자 씬도우 (L),빵 및 과자류,피자,100g,273,14.14,,,765g
피자_리얼랍스터스테이크 피자 치즈링 (L),빵 및 과자류,피자,100g,237,14.73,,,1030g
피자_리얼미트 피자 (L),빵 및 과자류,피자,100g,250,13.26,,,790g
피자_리얼불고기 피자 나폴리 (L),빵 및 과자류,피자,100g,253,12.19,9.94,28.75,700g
피자_리얼불고기 피자 나폴리 (M),빵 및 과자류,피자,100g,252,12.66,9.18,29.69,392g
피자_리얼불고기 피자 더블치즈 엣지 (L),빵 및 과자류,피자,100g,256,13.9,10.27,26.84,1117g
피자_리얼불고기 피자 더블치즈 엣지 (M),빵 및 과자류,피자,100g,258,13.1,11.01,26.44,661g
피자_리얼불고기 피자 더블치즈 페퍼로니 엣지 (L),빵 및 과자류,피자,100g,260,14.31,11.11,26.03,1157g
피자_리얼불고기 피자 더블치즈 페퍼로니 엣지 (M),빵 및 과자류,피자,100g,261,13.47,11.31,26.62,681g
피자_리얼불고기 피자 슈퍼시드 화이버 버스트 오리지널 (L),빵 및 과자류,피자,100g,303,13.63,11.55,26.9,1147g
피자_리얼불고기 피자 슈퍼시드 화이버 오리지널 (L),빵 및 과자류,피자,100g,254,11,9.46,30.28,961g
피자_리얼불고기 피자 슈퍼시드 화이버 오리지널 (M),빵 및 과자류,피자,100g,254,11,9.55,30.55,540g
피자_리얼불고기 피자 슈화 더블 치즈 페퍼로니 엣지 (L),빵 및 과자류,피자,100g,302,14.16,12.42,25.71,1158g
피자_로즈 피자 씬도우 (R),빵 및 과자류,피자,100g,90,6.77,,,455g
피자_로즈피자밀도우(L),빵 및 과자류,피자,100g,136,10.13,,,892g
피자_로즈피자밀도우(R),빵 및 과자류,피자,100g,90,6.74,,,555g
피자_로즈피자씬도우(L),빵 및 과자류,피자,100g,136,10.15,,,682g
피자_로즈피자씬도우(R),빵 및 과자류,피자,100g,90,6.77,,,455g
피자_롤롤페파로니 피자 (L),빵 및 과자류,피자,100g,311,22,,,1104g
피자_리모 피자,빵 및 과자류,피자,100g,257,11.89,,,2700g
피자_리얼 더블 불고기 (R),빵 및 과자류,피자,100g,280,16.57,,,612g
피자_리얼 더블 불고기 피자 (XL),빵 및 과자류,피자,100g,280,16.57,,,934g
피자_리얼게살쉬림프 피자 (L),빵 및 과자류,피자,100g,266,13,,,1450g
피자_리얼고구마 (L),빵 및 과자류,피자,100g,273,10.27,,,1170g
피자_리얼고구마 피자 (L),빵 및 과자류,피자,100g,243,10.07,,,1190g
피자_리얼고구마 피자 (L),빵 및 과자류,피자,100g,277,10.57,,,1001g
피자_리얼단호박 피자 밀도우 (L),빵 및 과자류,피자,100g,100,5.22,,,1020g
피자_리얼단호박 피자 밀도우 (R),빵 및 과자류,피자,100g,67,3.48,,,620g
피자_리얼단호박 피자 씬도우 (L),빵 및 과자류,피자,100g,100,5.23,,,810g
피자_리얼단호박 피자 씬도우 (R),빵 및 과자류,피자,100g,67,3.48,,,520g
피자_리얼단호박 피자밀도우(L),빵 및 과자류,피자,100g,100,5.22,,,1020g
피자_리얼단호박 피자밀도우(R),빵 및 과자류,피자,100g,67,3.48,,,620g
피자_로맨틱 하와이안 피자밀도우(L),빵 및 과자류,피자,100g,109,7.03,,,780g
피자_로맨틱 하와이안 피자밀도우(R),빵 및 과자류,피자,100g,73,4.68,,,568g
피자_로맨틱 하와이안 피자씬도우(R),빵 및 과자류,피자,100g,73,4.68,,,468g
피자_로맨틱 하와이안 피자씬도우L,빵 및 과자류,피자,100g,109,7.02,,,570g
피자_로얄 립 스테이크 피자 골드바이트 (L),빵 및 과자류,피자,100g,257,11.74,,,1247g
피자_로얄 립 스테이크 피자 골드바이트 (M),빵 및 과자류,피자,100g,257,11.86,,,774g
피자_로얄 립 스테이크 피자 노엣지 (L),빵 및 과자류,피자,100g,247,10.89,,,991g
피자_로얄 립 스테이크 피자 노엣지 (M),빵 및 과자류,피자,100g,249,11.04,,,581g
피자_로얄 립 스테이크 피자 리치골드 (L),빵 및 과자류,피자,100g,252,11.92,,,1171g
피자_로얄 립 스테이크 피자 리치골드 (M),빵 및 과자류,피자,100g,253,12.15,,,726g
피자_로얄 립 스테이크 피자 치즈크러스트 (L),빵 및 과자류,피자,100g,253,12.44,,,1083g
피자_로얄 립 스테이크 피자 치즈크러스트 (M),빵 및 과자류,피자,100g,255,13.03,,,655g
피자_로얄포테이토 피자,빵 및 과자류,피자,100g,259,11.77,,,1139g
피자_로제 쉬림프 포카챠,빵 및 과자류,피자,100g,187,8.67,,,150g
피자_로제블랙소세지 피자,빵 및 과자류,피자,100g,234,13.92,,,713g
피자_로즈 피자 밀도우 (L),빵 및 과자류,피자,100g,136,10.13,,,892g
피자_로즈 피자 밀도우 (R),빵 및 과자류,피자,100g,90,6.74,,,555g
피자_로즈 피자 씬도우 (L),빵 및 과자류,피자,100g,136,10.15,,,682g
케이크_초코 글레이즈 케이크 (홀),빵 및 과자류,케이크,100g,315,4.06,,,541.5
피자_레귤러 이탈리안치즈피자,빵 및 과자류,피자,100g,288,12.37,,,341g
피자_레귤러 콤비네이션피자,빵 및 과자류,피자,100g,274,12.17,,,397g
피자_레귤러 페퍼로니피자,빵 및 과자류,피자,100g,295,11.75,,,377g
피자_레귤러 포테이토피자,빵 및 과자류,피자,100g,258,10.78,,,465g
피자_레귤러 하와이안쉬림프피자,빵 및 과자류,피자,100g,259,10.39,,,444g
피자_레드불고기 피자 (L),빵 및 과자류,피자,100g,241,11.8,6.6,24.55,986g
피자_레드콘리코타피자 (L),빵 및 과자류,피자,100g,211,9.31,,,920g
피자_레드콘피자,빵 및 과자류,피자,100g,238,11.99,,,784g
피자_레드콘피자바이트,빵 및 과자류,피자,100g,233,11.5,,,944g
피자_레드핫치킨 피자,빵 및 과자류,피자,100g,237,13.94,,,100g
피자_레드핫치킨 피자 (L),빵 및 과자류,피자,100g,249,13.01,,,1170g
피자_레드핫카니발 피자 (L),빵 및 과자류,피자,100g,236,10.87,,,895g
피자_레드핫카니발 피자 (M),빵 및 과자류,피자,100g,226,10.36,,,588g
피자_레드핫커리 피자 (L),빵 및 과자류,피자,100g,289,13.15,,,949g
피자_로맨틱 하와이안 피자 밀도우 (L),빵 및 과자류,피자,100g,109,7.03,,,780g
피자_로맨틱 하와이안 피자 밀도우 (R),빵 및 과자류,피자,100g,73,4.68,,,568g
피자_로맨틱 하와이안 피자 씬도우 (L),빵 및 과자류,피자,100g,109,7.02,,,570g
피자_로맨틱 하와이안 피자 씬도우 (R),빵 및 과자류,피자,100g,73,4.68,,,468g
피자_랍스터슈림프투움바오리지널(L),빵 및 과자류,피자,100g,233,10.67,,,978g
피자_레귤러 골드 꿀고구마피자,빵 및 과자류,피자,100g,255,10.88,,,648g
피자_레귤러 골드 불고기피자,빵 및 과자류,피자,100g,269,12.92,,,552g
피자_레귤러 골드 스테이크불갈비피자,빵 및 과자류,피자,100g,264,12.49,,,595g
피자_레귤러 골드 이탈리안치즈피자,빵 및 과자류,피자,100g,281,12.66,,,491g
피자_레귤러 골드 콤비네이션피자,빵 및 과자류,피자,100g,272,12.48,,,547g
피자_레귤러 골드 페퍼로니피자,빵 및 과자류,피자,100g,287,12.2,,,527g
피자_레귤러 골드 포테이토피자,빵 및 과자류,피자,100g,260,11.4,,,615g
피자_레귤러 골드 하와이안쉬림프피자,빵 및 과자류,피자,100g,261,11.13,,,594g
피자_레귤러 꿀고구마피자,빵 및 과자류,피자,100g,252,10.12,,,498g
피자_레귤러 몬스터꿀고구마피자,빵 및 과자류,피자,100g,223,10.5,,,718g
피자_레귤러 몬스터불고기피자,빵 및 과자류,피자,100g,259,14.2,,,585g
피자_레귤러 몬스터이탈리안피자,빵 및 과자류,피자,100g,292,13.24,,,450g
피자_레귤러 몬스터콤비네이션피자,빵 및 과자류,피자,100g,254,12.11,,,570g
피자_레귤러 몬스터포테이토피자,빵 및 과자류,피자,100g,239,11.25,,,669g
피자_레귤러 몬스터하와이안쉬림프피자,빵 및 과자류,피자,100g,226,12.97,,,624g
피자_레귤러 불고기피자,빵 및 과자류,피자,100g,270,12.77,,,402g
피자_레귤러 스테이크불갈비피자,빵 및 과자류,피자,100g,264,12.21,,,445g
피자_위스콘신 치즈 포테이토 스파이시 갈릭 치즈롤 (L),빵 및 과자류,피자,100g,294,14.52,,,991.7
피자_위스콘신 치즈 포테이토 스파이시 갈릭 치즈롤 (P),빵 및 과자류,피자,100g,294,14.71,,,1631
피자_위스콘신 치즈 포테이토 치즈롤 (F),빵 및 과자류,피자,100g,288,14.33,,,1340
피자_위스콘신 치즈 포테이토 치즈롤 (L),빵 및 과자류,피자,100g,288,14.29,,,1007
피자_위스콘신 치즈 포테이토 치즈롤 (P),빵 및 과자류,피자,100g,288,14.81,,,1687
피자_위스콘신 치즈 포테이토 크루아상,빵 및 과자류,피자,100g,332,13,,,670.8
피자_위스콘신 치즈 포테이토 피자 골드링 (F),빵 및 과자류,피자,100g,295,14.47,,,1326
피자_위스콘신 치즈 포테이토 피자 골드링 (L),빵 및 과자류,피자,100g,296,14.42,,,887.7
피자_위스콘신 치즈 포테이토 피자 골드링 (P),빵 및 과자류,피자,100g,295,14.49,,,1793
피자_위스콘신 치즈 포테이토 피자 오리지널 (F),빵 및 과자류,피자,100g,278,12.52,,,1022
피자_위스콘신 치즈 포테이토 피자 오리지널 (L),빵 및 과자류,피자,100g,278,12.63,,,760g
피자_위스콘신 치즈 포테이토 피자 오리지널 (P),빵 및 과자류,피자,100g,278,13.08,,,1300
피자_위스콘신 치즈 포테이토 피자 치즈롤 (F),빵 및 과자류,피자,100g,288,14.32,,,1340
피자_위스콘신 치즈 포테이토 피자 치즈롤 (L),빵 및 과자류,피자,100g,288,14.29,,,1007
피자_위스콘신 치즈 포테이토 피자 치즈롤 (P),빵 및 과자류,피자,100g,288,14.81,,,1687
피자_위스콘신치즈포테이토 (L),빵 및 과자류,피자,100g,278,12.63,,,760g
피자_위스콘신치즈포테이토 피자 (F),빵 및 과자류,피자,100g,284,14.06,,,1023g
피자_위스콘신치즈포테이토 피자 (L),빵 및 과자류,피자,100g,278,12.63,,,760g
피자_웃음꽃 피자 (R),빵 및 과자류,피자,100g,225,9.8,,,815g
피자_웨지포테이토 피자,빵 및 과자류,피자,100g,302,11.96,,,654g
피자_웨지포테이토 피자 (L),빵 및 과자류,피자,100g,231,11.05,,,850g
피자_웨지포테이토 피자 (M),빵 및 과자류,피자,100g,241,12.44,,,523g
피자_웨지포테이토 피자 마니아 에어도우 (L),빵 및 과자류,피자,100g,266,11.06,,,990g
피자_웨지포테이토 피자 마니아 에어도우 (M),빵 및 과자류,피자,100g,267,11.05,,,574g
피자_웨지포테이토 피자 마니아 파마산엣지 (L),빵 및 과자류,피자,100g,268,11.43,,,1013g
피자_웨지포테이토 피자 마니아 파마산엣지 (M),빵 및 과자류,피자,100g,269,11.7,,,598g
피자_웨지포테이토 피자 씬 (L),빵 및 과자류,피자,100g,336,12.5,,,561g
피자_웰빙다이어트야채 피자 (L),빵 및 과자류,피자,100g,245,13.02,,,940g
피자_웰컴투포테이토 피자 (L),빵 및 과자류,피자,100g,244,10.74,,,968g
피자_웰컴투포테이토 피자 (M),빵 및 과자류,피자,100g,248,10.81,,,666g
피자_위스콘신 치즈 포테이토 (F),빵 및 과자류,피자,100g,278,12.52,,,1022
피자_위스콘신 치즈 포테이토 (P),빵 및 과자류,피자,100g,278,13.08,,,1300
피자_위스콘신 치즈 포테이토 골드링 (F),빵 및 과자류,피자,100g,295,14.47,,,1326
피자_위스콘신 치즈 포테이토 골드링 (L),빵 및 과자류,피자,100g,296,14.42,,,887.7
피자_위스콘신 치즈 포테이토 골드링 (P),빵 및 과자류,피자,100g,295,14.5,,,1793
피자_위스콘신 치즈 포테이토 스파이시 갈릭 치즈롤 (F),빵 및 과자류,피자,100g,295,14.73,,,1303
피자_우리 고구마 피자 씬 (M),빵 및 과자류,피자,100g,266,9,14.87,25.13,450g
피자_우리 고구마 피자 오리지널 (L),빵 및 과자류,피자,100g,248,10.5,9.36,30.42,1070g
피자_우리 고구마 피자 오리지널 (M),빵 및 과자류,피자,100g,242,9,9.32,33.26,658g
피자_우리 고구마 피자 치즈 엣지 (L),빵 및 과자류,피자,100g,254,10.8,11.78,26.2,1272g
피자_우리 고구마 피자 치즈 엣지 (M),빵 및 과자류,피자,100g,254,10,11.4,27.58,815g
피자_우리 고구마 피자 치즈버스트 나폴리 (L),빵 및 과자류,피자,100g,256,10.9,12.92,24.08,1101g
피자_우리 고구마 피자 치즈버스트 오리지널 (L),빵 및 과자류,피자,100g,247,11,10.31,27.61,1319g
피자_우리고구마오리지널(L),빵 및 과자류,피자,100g,270,12,,,946g
피자_우아한소세지 피자 (L),빵 및 과자류,피자,100g,258,13.93,,,976g
피자_우아한소세지 피자 (M),빵 및 과자류,피자,100g,258,14.06,,,768g
피자_우주선 피자,빵 및 과자류,피자,100g,268,10,,,1048g
피자_울트라빽보이 피자 (L),빵 및 과자류,피자,100g,284,15.49,,28.02,725g
피자_울트라빽보이 피자 (R),빵 및 과자류,피자,100g,283,18.82,,23.97,546g
피자_울트라코리안 피자 (L),빵 및 과자류,피자,100g,248,12.52,,,1064g
피자_울트라코리안 피자 (R),빵 및 과자류,피자,100g,242,13.78,,,570g
피자_울트라콤비네이션 (L),빵 및 과자류,피자,100g,238,12.42,,,1159g
피자_울트라콤비네이션 피자 (L),빵 및 과자류,피자,100g,239,11.56,,,1179g
피자_웃음꽃 피자 (L),빵 및 과자류,피자,100g,221,14.41,,,1330g
피자_왕릉불고기 (R),빵 및 과자류,피자,100g,218,10.75,,,511g
피자_왕릉불고기 피자 (L),빵 및 과자류,피자,100g,234,11.69,,,857.4
피자_왕릉불고기 피자 (R),빵 및 과자류,피자,100g,239,12.1,,,511.5
피자_왕손뚱베이컨 피자 (L),빵 및 과자류,피자,100g,262,16.23,,,1035g
피자_왕창포테이토 피자 (L),빵 및 과자류,피자,100g,240,8.91,,,1032g
피자_용암던전 피자 (XL),빵 및 과자류,피자,100g,239,14.44,,,962g
피자_용암불고기 피자 (L),빵 및 과자류,피자,100g,255,14.47,,,1215g
피자_용암불고기 피자 (R),빵 및 과자류,피자,100g,255,14,,,900g
피자_우리 고구마 피자 나폴리 (L),빵 및 과자류,피자,100g,248,9.7,11.07,28.69,865g
피자_우리 고구마 피자 나폴리 (M),빵 및 과자류,피자,100g,242,9.6,10.87,28.91,537g
피자_우리 고구마 피자 더블치즈 페퍼로니 엣지 (L),빵 및 과자류,피자,100g,258,11.26,11.67,25.32,1312g
피자_우리 고구마 피자 더블치즈 페퍼로니 엣지 (M),빵 및 과자류,피자,100g,257,10.38,11.7,26.84,835g
피자_우리 고구마 피자 슈퍼시드 화이버 버스트 오리지널 (L),빵 및 과자류,피자,100g,293,12.39,10.99,28.13,1262g
피자_우리 고구마 피자 슈퍼시드 화이버 오리지널 (L),빵 및 과자류,피자,100g,248,10,9.02,31.36,1076g
피자_우리 고구마 피자 슈퍼시드 화이버 오리지널 (M),빵 및 과자류,피자,100g,251,9.7,9.13,33.97,634g
피자_우리 고구마 피자 슈화 더블 치즈 페퍼로니 엣지 (L),빵 및 과자류,피자,100g,293,12.9,11.78,27.04,1273g
피자_우리 고구마 피자 슈화 더블 치즈 페퍼로니 엣지 (M),빵 및 과자류,피자,100g,304,13.13,12.24,28.65,770g
피자_우리 고구마 피자 씬 (L),빵 및 과자류,피자,100g,272,10,14.83,26.71,712g
피자_골드바베큐치킨 피자 (L),빵 및 과자류,피자,100g,252,13.15,,,881g
피자_와이키키 피자 리코타링 (R),빵 및 과자류,피자,100g,268,14.29,,,673g
피자_와이키키 피자 석쇠 (L),빵 및 과자류,피자,100g,263,14.29,,,840g
피자_와이키키 피자 석쇠 (R),빵 및 과자류,피자,100g,262,14.19,,,593g
피자_와이키키 피자 씬도우 (L),빵 및 과자류,피자,100g,292,13.48,,,712g
피자_와이키키 피자 씬도우 (R),빵 및 과자류,피자,100g,304,14.41,,,443g
피자_와이키키 피자 씬바샤삭 (L),빵 및 과자류,피자,100g,292,13.48,,,712g
피자_와이키키 피자 씬바샤삭 (R),빵 및 과자류,피자,100g,304,14.41,,,443g
피자_와이키키 피자 치즈링 (L),빵 및 과자류,피자,100g,260,15,,,960g
피자_와이키키 피자 치즈링 (R),빵 및 과자류,피자,100g,259,15.03,,,693g
피자_와일드불고기할라피뇨 (R),빵 및 과자류,피자,100g,257,15.09,,,635g
피자_와일드소시지 (L),빵 및 과자류,피자,100g,260,13.63,,,903g
피자_와일드소시지 (R),빵 및 과자류,피자,100g,262,13.92,,,585g
피자_와일드와일드웨스트스테이크오리지널(L),빵 및 과자류,피자,100g,237,10.67,,,988g
피자_왕릉고추 불고기 (L),빵 및 과자류,피자,100g,202,9.76,,,903g
피자_왕릉고추 불고기 (R),빵 및 과자류,피자,100g,206,10.2,,,539g
피자_왕릉고추 불고기 피자 (L),빵 및 과자류,피자,100g,221,11.03,,,903.4
피자_왕릉고추 불고기 피자 (R),빵 및 과자류,피자,100g,225,11.41,,,539.1
피자_왕릉불고기 (L),빵 및 과자류,피자,100g,216,10.35,,,857g
피자_와와웨 스테이크 피자 슈화 더블 치즈 페퍼로니 엣지 (M),빵 및 과자류,피자,100g,274,13.99,11.11,23.14,821g
피자_와와웨 스테이크 피자 씬 (L),빵 및 과자류,피자,100g,253,11.8,13.36,21.29,763g
피자_와와웨 스테이크 피자 씬 (M),빵 및 과자류,피자,100g,229,10.3,13.09,,502g
피자_와와웨 스테이크 피자 오리지널 (L),빵 및 과자류,피자,100g,235,11.3,8.5,28.26,1071g
피자_와와웨 스테이크 피자 오리지널 (M),빵 및 과자류,피자,100g,223,10.5,8.51,25.95,714g
피자_와와웨 스테이크 피자 치즈버스트 나폴리 (L),빵 및 과자류,피자,100g,243,11.6,13.16,,1135g
피자_와와웨 스테이크 피자 치즈버스트 오리지널 (L),빵 및 과자류,피자,100g,238,11.4,11.27,22.75,1336g
피자_와와웨 피자 더블치즈 페퍼로니 엣지 (L),빵 및 과자류,피자,100g,245,11.94,11.13,23.93,1293g
피자_와와웨 피자 더블치즈 페퍼로니 엣지 (M),빵 및 과자류,피자,100g,240,12.03,11.25,22.08,863g
피자_와우미트피자 (L),빵 및 과자류,피자,100g,269,13.69,,,834g
피자_와우미트피자 (M),빵 및 과자류,피자,100g,262,14.63,,,630g
피자_와우미트피자 리치골드크러스트 (L),빵 및 과자류,피자,100g,270,13.69,,,1034g
피자_와우미트피자 리치골드크러스트 (M),빵 및 과자류,피자,100g,264,14.5,,,730g
피자_와우미트피자 치즈크러스트 (L),빵 및 과자류,피자,100g,271,13.69,,,934g
피자_와우미트피자 치즈크러스트 (M),빵 및 과자류,피자,100g,265,14.53,,,705g
피자_와이키키 피자 골드스윗 (L),빵 및 과자류,피자,100g,268,13.95,,,1030g
피자_와이키키 피자 골드스윗 (R),빵 및 과자류,피자,100g,266,13.51,,,738g
피자_와이키키 피자 리코타링 (L),빵 및 과자류,피자,100g,268,14.41,,,940g
피자_올미트 피자 오리지널 (P),빵 및 과자류,피자,100g,254,13.26,,,1356
피자_올미트 피자 오리지널 (R),빵 및 과자류,피자,100g,253,13.01,,,438.2
피자_올미트 피자 치즈롤 (F),빵 및 과자류,피자,100g,262,14.87,,,1398
피자_올미트 피자 치즈롤 (L),빵 및 과자류,피자,100g,262,15.22,,,1051
피자_올미트 피자 치즈롤 (P),빵 및 과자류,피자,100g,262,14.76,,,1761
피자_올스타 피자 (L),빵 및 과자류,피자,100g,157,10.57,,,1253g
피자_올포유 피자 (L),빵 및 과자류,피자,100g,147,7.35,,,1294g
피자_와규베스트플래버 피자 (L),빵 및 과자류,피자,100g,237,14.64,,,1074g
피자_와규소보로 피자 (L),빵 및 과자류,피자,100g,246,10.41,,,965g
피자_와규소보로 피자 (M),빵 및 과자류,피자,100g,240,11.99,,,689g
피자_와와웨 스테이크 피자 나폴리 (L),빵 및 과자류,피자,100g,240,10.7,10.02,26.71,887g
피자_와와웨 스테이크 피자 나폴리 (M),빵 및 과자류,피자,100g,222,10.8,9.92,22.24,594g
피자_와와웨 스테이크 피자 더블치즈 엣지 (L),빵 및 과자류,피자,100g,241,11.5,9.42,27.48,1253g
피자_와와웨 스테이크 피자 더블치즈 엣지 (M),빵 및 과자류,피자,100g,237,11.7,11.03,22.7,843g
피자_와와웨 스테이크 피자 슈퍼시드 화이버 버스트 오리지널 (L),빵 및 과자류,피자,100g,278,13.96,10.62,24.51,1224g
피자_와와웨 스테이크 피자 슈퍼시드 화이버 오리지널 (L),빵 및 과자류,피자,100g,232,11.5,8.52,27.21,1038g
피자_와와웨 스테이크 피자 슈퍼시드 화이버 오리지널 (M),빵 및 과자류,피자,100g,223,10.8,8.01,26.97,685g
피자_와와웨 스테이크 피자 슈화 더블 치즈 페퍼로니 엣지 (L),빵 및 과자류,피자,100g,278,14.44,11.45,23.41,1235g
피자_올미트 스파이시 갈릭 치즈롤 (F),빵 및 과자류,피자,100g,268,15.29,,,1360
피자_올미트 스파이시 갈릭 치즈롤 (L),빵 및 과자류,피자,100g,268,15.46,,,1034
피자_올미트 스파이시 갈릭 치즈롤 (P),빵 및 과자류,피자,100g,268,15.28,,,1702
피자_올미트 씬,빵 및 과자류,피자,100g,283,14.47,,,1050
피자_올미트 치즈롤 (F),빵 및 과자류,피자,100g,262,14.88,,,1398
피자_올미트 치즈롤 (L),빵 및 과자류,피자,100g,262,15.22,,,1051
피자_올미트 치즈롤 (P),빵 및 과자류,피자,100g,262,14.77,,,1761
피자_올미트 크루아상,빵 및 과자류,피자,100g,302,13.39,,,699.9
피자_올미트 피자 (F),빵 및 과자류,피자,100g,254,12.78,,,1067g
피자_올미트 피자 (L),빵 및 과자류,피자,100g,254,13.13,,,793g
피자_올미트 피자 (P),빵 및 과자류,피자,100g,253,13.24,,,1357g
피자_올미트 피자 (R),빵 및 과자류,피자,100g,253,13.01,,,438g
