식품명,식품대분류명,대표식품명,영양성분함량기준량,에너지(kcal),단백질(g),지방(g),탄수화물(g),식품중량
달걀_삶은것_흰자,수·조·어·육류,달걀,100g,48,11.42,0.29,0.01,100g
달걀국,국 및 탕류,달걀국,100ml,16,1.53,0.68,1.01,150ml
달걀국,국 및 탕류,달걀국,100g,13,0.93,0.74,0.69,400g
느타리버섯튀김,튀김류,느타리버섯튀김,100ml,227,6.4,13.64,19.17,60.3
느타리버섯튀김,튀김류,느타리버섯튀김,100ml,182,5,10.88,15.5,32.8
느타리버섯튀김,튀김류,느타리버섯튀김,100ml,227,6.4,13.64,19.17,60.3
다슬기 된장국,국 및 탕류,다슬기 된장국,100ml,22,2.1,0.67,2.48,300ml
다슬기 된장국,국 및 탕류,다슬기 된장국,100ml,23,2.1,0.68,2.6,300ml
다슬기 된장국,국 및 탕류,다슬기 된장국,100ml,23,2.1,0.68,2.6,300ml
다시마무침,생채·무침류,다시마무침,100g,48,2.57,1.18,6.8,90g
다시마무침,생채·무침류,다시마무침,100ml,60,3.1,3.35,6.96,64.2
다시마무침,생채·무침류,다시마무침,100ml,61,3.1,3.39,7.02,30.9
다시마무침,생채·무침류,다시마무침,100ml,60,3.1,3.35,6.96,64.2
다시마조림,조림류,다시마조림,100ml,60,3.1,3.35,6.96,64.2
다시마조림,조림류,다시마조림,100ml,61,3.1,3.39,7.02,30.9
다시마튀각,튀김류,다시마튀각,100ml,232,1.4,18.32,20.02,22.1
다시마튀각,튀김류,다시마튀각,100g,462,8.44,26.52,47.32,50g
다시마튀각,튀김류,다시마튀각,100ml,246,1.1,23.61,9.97,100ml
다식_송화,빵 및 과자류,다식,100g,369,8.3,4.48,73.97,30g
다쿠아즈,빵 및 과자류,다쿠아즈,100g,447,8.33,26.65,43.39,100g
단무지,장아찌·절임류,단무지,100g,13,0.33,0.2,2.4,30g
녹차_프레시그린티 아이스(ICED),음료 및 차류,녹차,100g,1,0,,,414g
녹차_프레시그린티 핫(HOT),음료 및 차류,녹차,100g,1,0,,,414g
녹차_프루티 하동 아이스(ICED) (L),음료 및 차류,녹차,100g,1,0,,,350g
녹차_프루티 하동 핫(HOT) (L),음료 및 차류,녹차,100g,1,0,,,350g
녹차_하동 녹차 아이스(ICED),음료 및 차류,녹차,100g,0,0,,,473g
녹차_하동 녹차 핫(HOT),음료 및 차류,녹차,100g,0,0,,,473g
녹차_해남 녹차 아이스(ICED),음료 및 차류,녹차,100ml,1,0,,,354ml
녹차_해남 녹차 핫(HOT),음료 및 차류,녹차,100ml,1,0,,,354ml
누룽지,밥류,누룽지,100ml,87,1.5,0.06,19.17,600ml
누룽지_뜨거운물첨가,밥류,누룽지,100g,69,1.32,0.1,15.06,100g
느타리버섯 구이,구이류,느타리버섯 구이,100ml,60,2.1,4.44,5.75,90.9
느타리버섯볶음,볶음류,느타리버섯볶음,100ml,56,1.4,4.8,3.18,75.4
느타리버섯볶음,볶음류,느타리버섯볶음,100ml,56,1.4,4.8,3.18,75.4
느타리버섯볶음,볶음류,느타리버섯볶음,100g,87,3.61,4.66,7.69,100g
느타리버섯볶음_느타리버섯,볶음류,느타리버섯볶음,100ml,21,1.25,1.42,2.36,90ml
느타리버섯볶음_느타리버섯_채소,볶음류,느타리버섯볶음,100ml,37,1.62,2.41,4.15,70ml
느타리버섯볶음_느타리버섯_채소,볶음류,느타리버섯볶음,100ml,40,1.78,2.69,4.28,120ml
느타리버섯볶음_느타리버섯_채소,볶음류,느타리버섯볶음,100ml,46,1.91,3.1,4.52,50ml
녹차_그린티 아이스(ICED) (R),음료 및 차류,녹차,100g,2,0.19,,,400g
녹차_그린티 핫(HOT) (R),음료 및 차류,녹차,100g,1,0.11,,,340g
녹차_녹차,음료 및 차류,녹차,100g,0,0.03,,,360g
녹차_녹차 아이스(ICED),음료 및 차류,녹차,100g,0,0,,,595g
녹차_녹차 아이스(ICED),음료 및 차류,녹차,100ml,0,0.04,0,0,710ml
녹차_녹차 아이스(ICED),음료 및 차류,녹차,100g,0,0,,,452g
녹차_녹차 핫(HOT),음료 및 차류,녹차,100g,1,0,,,322g
녹차_녹차 핫(HOT),음료 및 차류,녹차,100ml,0,0.03,0,0,591ml
녹차_녹차 핫(HOT),음료 및 차류,녹차,100g,0,0,,,505g
녹차_자스민 그린티 아이스(ICED),음료 및 차류,녹차,100g,4,0.03,,,586.6
녹차_자스민 그린티 아이스(ICED) (J),음료 및 차류,녹차,100g,2,0.15,,,651g
녹차_자스민 그린티 아이스(ICED) (L),음료 및 차류,녹차,100g,2,0.21,,,473g
녹차_자스민 그린티 핫(HOT),음료 및 차류,녹차,100g,6,0.05,,,406.6
녹차_자스민 그린티 핫(HOT) (J),음료 및 차류,녹차,100g,2,0.21,,,473g
녹차_자스민 그린티 핫(HOT) (L),음료 및 차류,녹차,100g,2,0.24,,,414g
녹차_제주 유기 녹차 아이스(ICED) (Tall),음료 및 차류,녹차,100g,0,0,,,355g
녹차_제주 유기 녹차 핫(HOT) (Tall),음료 및 차류,녹차,100g,0,0,,,355g
녹차_제주유기농녹차 아이스(ICED) (L),음료 및 차류,녹차,100g,1,0.21,,,473g
녹차_제주유기농녹차 핫(HOT) (L),음료 및 차류,녹차,100g,0,0,,,473g
노각무침,생채·무침류,노각무침,100ml,20,0.9,0.43,3.98,85ml
노각무침,생채·무침류,노각무침,100ml,20,0.9,0.43,3.98,85ml
노각무침,생채·무침류,노각무침,100g,56,1.73,1.2,9.53,150g
녹두빈대떡,전·적 및 부침류,녹두빈대떡,100ml,176,9.4,5.68,21.43,210ml
녹두빈대떡,전·적 및 부침류,녹두빈대떡,100ml,176,9.4,5.68,21.43,210ml
녹두빈대떡,전·적 및 부침류,녹두빈대떡,100ml,193,10.2,5.71,24.55,79.5
녹두빈대떡,전·적 및 부침류,녹두빈대떡,100g,208,7.94,10.27,20.93,100g
녹두빈대떡,전·적 및 부침류,녹두빈대떡,100ml,249,13.4,7.48,31.36,109.7
녹두빈대떡_돼지고기,전·적 및 부침류,녹두빈대떡,100ml,175,9.41,5.64,21.4,210ml
녹두빈대떡_채소,전·적 및 부침류,녹두빈대떡,100ml,100,4.3,1.98,16.57,157ml
녹두빈대떡_해물,전·적 및 부침류,녹두빈대떡,100ml,86,6,2.02,10.95,157ml
녹두빈대떡_해물_돼지고기,전·적 및 부침류,녹두빈대떡,100ml,103,9,2.58,10.63,157ml
녹두빈대떡_해물_돼지고기,전·적 및 부침류,녹두빈대떡,100ml,103,9,2.58,10.63,157ml
녹두전,전·적 및 부침류,녹두전,100ml,92,5,4.27,8.41,158.9
녹두전,전·적 및 부침류,녹두전,100ml,92,5,4.2,8.41,158.9
녹두전,전·적 및 부침류,녹두전,100ml,92,5,4.2,8.41,158.9
녹차_그린티,음료 및 차류,녹차,100ml,0,0,,,360ml
녹차_그린티 아이스(ICED),음료 및 차류,녹차,100g,0,0,,,355g
냉면_비빔냉면,면 및 만두류,냉면,100g,100,5.67,2.64,13.35,500g
냉면_열무냉면,면 및 만두류,냉면,100g,66,2.61,0.72,12.19,800g
